center_name,city,pdf_link,volume,survival_waiting,transplant_speed,survival_1year,white,seventy_plus,male,previous_transplant,obese,pah,cf,ipf,copd,other_disease,other_death,local_ischemic_361,multi_organ,est_one_year_surv,hazard_ratio,transplant_type
NYU Langone Health,"New York, NY",https://www.srtr.org/PDFs/062023_release/pdfPSR/NYUCTX1LU202305PNEW.pdf,81,3,5,5,0.5429999999999999,0.16,0.691,0.037000000000000005,0.099,0.025,0.012,0.716,0.16,0.086,0.605,0.0,0.025,0.9345,0.62,Lung
University of Wisconsin Hospital and Clinics,"Madison, WI",https://www.srtr.org/PDFs/062023_release/pdfPSR/WIUWTX1LU202305PNEW.pdf,42,3,4,5,0.929,0.11900000000000001,0.7140000000000001,0.024,0.11900000000000001,0.024,0.024,0.7859999999999999,0.095,0.071,0.643,0.14300000000000002,0.048,0.9417,0.6,Lung
Spectrum Health,"Grand Rapids, MI",https://www.srtr.org/PDFs/062023_release/pdfPSR/MISHTX1LU202305PNEW.pdf,41,3,4,5,0.902,0.317,0.659,0.024,0.098,0.024,0.0,0.659,0.293,0.024,0.46299999999999997,0.75,0.0,0.9440000000000001,0.52,Lung
University of California San Francisco Medical Center,"San Francisco, CA",https://www.srtr.org/PDFs/062023_release/pdfPSR/CASFTX1LU202305PNEW.pdf,77,4,3,5,0.506,0.11699999999999999,0.532,0.0,0.104,0.013000000000000001,0.013000000000000001,0.805,0.11699999999999999,0.052000000000000005,0.61,0.324,0.013000000000000001,0.9309000000000001,0.54,Lung
Tampa General Hospital,"Tampa, FL",https://www.srtr.org/PDFs/062023_release/pdfPSR/FLTGTX1LU202305PNEW.pdf,52,3,3,5,0.7879999999999999,0.154,0.75,0.057999999999999996,0.135,0.057999999999999996,0.0,0.654,0.17300000000000001,0.115,0.635,0.364,0.019,0.9462,0.59,Lung
Mayo Clinic Hospital Minnesota,"Rochester, MN",https://www.srtr.org/PDFs/062023_release/pdfPSR/MNMCTX1LU202305PNEW.pdf,51,2,3,5,0.8240000000000001,0.17600000000000002,0.667,0.0,0.098,0.059000000000000004,0.039,0.667,0.17600000000000002,0.059000000000000004,0.627,0.3,0.0,0.9266,0.61,Lung
Temple University Hospital,"Philadelphia, PA",https://www.srtr.org/PDFs/062023_release/pdfPSR/PATUTX1LU202305PNEW.pdf,124,1,3,5,0.782,0.298,0.597,0.04,0.23399999999999999,0.024,0.0,0.5,0.387,0.08900000000000001,0.573,0.33299999999999996,0.0,0.9122,0.65,Lung
UF Health Shands Hospital,"Gainesville, FL",https://www.srtr.org/PDFs/062023_release/pdfPSR/FLUFTX1LU202305PNEW.pdf,48,5,2,5,0.7759999999999999,0.204,0.6940000000000001,0.0,0.061,0.040999999999999995,0.02,0.6729999999999999,0.102,0.163,0.49,0.6,0.02,0.9388,0.55,Lung
Hospital of the University of Pennsylvania,"Philadelphia, PA",https://www.srtr.org/PDFs/062023_release/pdfPSR/PAUPTX1LU202305PNEW.pdf,54,4,2,5,0.759,0.222,0.778,0.037000000000000005,0.149,0.055999999999999994,0.019,0.611,0.14800000000000002,0.16699999999999998,0.685,0.41700000000000004,0.0,0.9179999999999999,0.65,Lung
Vanderbilt University Medical Center,"Nashville, TN",https://www.srtr.org/PDFs/062023_release/pdfPSR/TNVUTX1LU202305PNEW.pdf,67,4,5,4,0.8809999999999999,0.134,0.507,0.0,0.22399999999999998,0.045,0.0,0.657,0.19399999999999998,0.10400000000000001,0.597,0.4,0.0,0.9214,0.76,Lung
University of California San Diego Medical Center,"La Jolla, CA",https://www.srtr.org/PDFs/062023_release/pdfPSR/CASDTX1LU202305PNEW.pdf,37,5,4,4,0.6759999999999999,0.027000000000000003,0.595,0.0,0.054000000000000006,0.21600000000000003,0.027000000000000003,0.37799999999999995,0.243,0.135,0.6759999999999999,0.0,0.0,0.9186,0.69,Lung
The Nebraska Medical Center,"Omaha, NE",https://www.srtr.org/PDFs/062023_release/pdfPSR/NEUNTX1LU202305PNEW.pdf,9,4,4,4,0.889,0.0,0.667,0.111,0.111,0.0,0.111,0.667,0.111,0.111,0.778,1.0,0.0,0.9444,0.79,Lung
University of California at Los Angeles Medical Center,"Los Angeles, CA",https://www.srtr.org/PDFs/062023_release/pdfPSR/CAUCTX1LU202305PNEW.pdf,72,2,4,4,0.47200000000000003,0.16699999999999998,0.611,0.027999999999999997,0.0,0.042,0.0,0.8190000000000001,0.09699999999999999,0.042,0.528,0.07,0.013999999999999999,0.9037000000000001,0.79,Lung
University of Colorado Hospital/Health Science Center,"Aurora, CO",https://www.srtr.org/PDFs/062023_release/pdfPSR/COUCTX1LU202305PNEW.pdf,40,2,4,4,0.75,0.15,0.5,0.025,0.025,0.025,0.1,0.425,0.375,0.075,0.65,0.083,0.0,0.9335,0.71,Lung
University of Utah Medical Center,"Salt Lake City, UT",https://www.srtr.org/PDFs/062023_release/pdfPSR/UTMCTX1LU202305PNEW.pdf,36,2,4,4,0.917,0.16699999999999998,0.75,0.027999999999999997,0.222,0.139,0.0,0.611,0.222,0.027999999999999997,0.722,0.0,0.0,0.9344,0.62,Lung
North Shore University Hospital/Northwell Health,"Manhasset, NY",https://www.srtr.org/PDFs/062023_release/pdfPSR/NYNSTX1LU202305PNEW.pdf,6,4,3,4,0.16699999999999998,0.0,0.667,0.0,0.33299999999999996,0.0,0.16699999999999998,0.5,0.16699999999999998,0.16699999999999998,1.0,0.0,0.0,1.0,0.91,Lung
